wpm_under_1|f,n.adjective.senses|f,n.auxiliary verb.senses|f,coltNOrth|f,nPhon|f,coltNPhon|f,isIllegal|f,nMeaningWordsmyth|s,n.imperative verb.senses|f,n.suffix.senses|f,word,delete|f,n.definite article.senses|f,derived_period|f,word|f,legalUni|f,n.conjunction.senses|f,pld20|f,NphonOnsetNeighbour|f,n.prefix.senses|f,PhonOffsetNeighbours|f,isHomophone|f,old20|f,n.adverb.senses|f,n.plural pronoun.senses|f,nSyll|f,n.intransitive verb.senses|f,phonology|s|f,n.plural noun.senses|f,legalBigram|f,derived_capitalization|f,SUBTLwf|f,n.indefinite article.senses|f,wpm_over_100|f,posBigram|f,in_edom|f,n.abbreviation.senses|f,n.transitive verb.senses|f,n.senses|f,n.foreign phrase.senses|f,isDuplicate|f,n.interjection.senses|f,posUni|f,lowerMostFreq|f,PhonOneCharPerPhonemeNoStress|f,type|f,n.phrase.senses|f,n.meanings|f,derived_verbal|f,derived_unknown|f,nSenseWordsmyth|s,cat|s,n.contraction.senses|f,phonOnsetNeighbours|f,n.preposition.senses|f,n.noun.senses|f,isHomograph|f,phonNeighbours|f,orthNeighbours|f,NphonOffsetNeighbours|f,n.pronoun.senses|f,n.verb.senses|f,nLet|f
0,0,0,0,4,1,0,1,0,0,corral,1,0,0,corral,1,0,1.95,1,0,,0,2,0,0,2,0,k|er0|-|ae1|l,0,1,0,2.333333333,0,0,214,0,0,2,4,0,0,0,1510,1,k91l,polyseme,0,1,0,0,4,P,0,|m91l,0,2,0,|m91l,0,0,0,0,6
0,0,0,0,4,1,0,1,0,0,gopher,1,0,0,gopher,1,0,1.9,1,0,,0,2.2,0,0,2,0,g|ow1|-|f|er0,0,1,0,1.411764706,0,0,386,0,0,0,2,0,0,0,2059,1,gôf9,polyseme,0,1,0,0,2,P,0,|Éôf9,0,2,0,|Éôf9,0,0,0,0,6
0,0,0,0,8,0,0,1,0,0,substance,1,0,0,substance,1,0,3.25,0,0,,0,3.15,0,0,2,0,s|ah1|b|-|s|t|ah0|n|s,0,1,0,7.137254902,0,0,166,0,0,0,6,0,0,0,1138,1,s2bst2ns,polyseme,0,1,0,0,6,P,0,,0,6,0,,0,0,0,0,9
0,0,0,0,6,0,0,1,0,0,flannel,1,0,0,flannel,1,0,2.35,0,0,,0,2.5,0,0,2,0,f|l|ae1|-|n|ah0|l,0,1,0,1.37254902,0,0,183,0,0,0,2,0,0,0,1847,1,fl1n2l,polyseme,0,1,0,0,2,P,0,,0,2,0,,0,0,0,0,7
0,0,0,4,5,3,0,1,0,0,strap,1,0,0,strap,1,0,1.7,0,0,,0,1.7,0,0,1,0,s|t|r|ae1|p,0,1,0,5.156862745,0,0,86,0,0,3,7,0,0,0,854,1,str1p,polyseme,0,1,0,0,7,P,0,,0,4,0,|skr1p|strép|str5p,|scrap|strip|stray|straw,0,0,0,5
0,0,0,0,6,0,0,1,0,0,courtesy,1,0,0,courtesy,1,0,2.8,0,0,,0,2.65,0,0,3,0,k|er1|-|t|ah0|-|s|iy0,0,1,0,8.117647059,0,0,256,0,0,0,3,0,0,0,1574,1,k9t2sè,polyseme,0,1,0,0,3,P,0,,0,3,0,,0,0,0,0,8
0,2,0,0,8,0,0,1,0,0,monetary,1,0,0,monetary,1,0,2.7,0,0,,0,2.95,0,0,4,0,m|aa1|-|n|ah0|-|t|eh2|-|r|iy0,0,1,0,1.019607843,0,0,212,0,0,0,2,0,0,0,1683,1,m0n2t8rè,polyseme,0,1,0,0,2,P,0,,0,0,0,,0,0,0,0,8
0,0,0,8,3,22,0,2,0,0,pitch,1,0,0,pitch,1,0,1.15,8,0,|pér|pék|pér|pég|pél|pén|péî|pép|pés|pét,0,1.55,0,0,1,7,p|ih1|ch,0,1,0,15.52941176,0,0,114,1,0,7,25,0,0,0,855,1,pé6,homonymhybrid,0,2,0,0,25,H,0,|bé6|dé6|fé6|àé6|mé6|ré6|wé6|wé6,0,11,0,|bé6|dé6|fé6|àé6|mé6|ré6|wé6|wé6|p16|pè6|pÎ6|p46|pér|pék|pér|pég|pél|pén|péî|pép|pés|pét,|fitch|hitch|ditch|mitch|witch|bitch|patch|pinch,10,0,0,5
0,0,0,0,7,0,0,1,0,0,countdown,1,0,0,countdown,1,0,4.3,0,0,,0,3.7,0,0,2,0,k|aw1|n|t|-|d|aw2|n,0,1,0,3.529411765,0,0,158,0,0,0,2,0,0,0,1022,1,k4ntd4n,polyseme,0,1,0,0,2,P,0,,0,2,0,,0,0,0,0,9
0,0,0,1,4,7,0,1,0,0,fiend,1,0,0,fiend,1,0,1.4,1,0,,0,1.8,0,0,1,0,f|iy1|n|d,0,1,0,2.803921569,0,0,76,0,0,0,3,0,0,0,1014,1,fènd,polyseme,0,1,0,0,3,P,0,|lènd,0,3,0,|lènd|f5nd|f0nd|f4nd|f2nd|fônd|fèld,|field,0,0,0,5
0,1,0,0,6,0,0,1,0,0,fascist,1,0,0,fascist,1,0,2.1,0,0,,0,2.65,0,0,2,0,f|ae1|-|sh|ah0|s|t,0,1,0,2.450980392,0,0,171,0,0,0,2,0,0,0,1944,1,f1É2st,polyseme,0,1,0,0,2,P,0,,0,1,0,,0,0,0,0,7
0,0,0,0,7,0,0,1,0,0,uranium,1,0,0,uranium,1,0,3.5,0,0,,0,2.7,0,0,4,0,y|er0|-|ey1|-|n|iy0|-|ah0|m,0,1,0,2.137254902,0,0,173,0,0,0,1,0,0,0,1624,1,y9Ûnè2m,monoseme,0,1,0,0,1,M,0,,0,1,0,,0,0,0,0,7
0,4,0,1,7,1,0,1,0,0,generic,1,0,0,generic,1,0,3.7,0,0,,0,2.75,0,0,3,0,jh|ah0|-|n|eh1|-|r|ih0|k,0,1,0,1.529411765,0,0,147,0,0,0,4,0,0,0,1267,1,ê2n8rék,polyseme,0,1,0,0,4,P,0,,0,0,0,|ê2n8ték,|genetic,0,0,0,7
0,0,0,0,6,0,0,1,0,0,uterus,1,0,0,uterus,1,0,2.85,0,0,,0,2.8,0,0,3,0,y|uw1|-|t|er0|-|ah0|s,0,1,0,1.803921569,0,0,56,0,0,0,2,0,0,0,1196,1,yÎt92s,polyseme,0,1,0,0,2,P,0,,0,2,0,,0,0,0,0,6
0,0,0,0,8,0,0,1,0,0,marijuana,1,0,0,marijuana,1,0,3.9,0,0,,0,3.9,0,0,4,0,m|eh2|-|r|ah0|w|-|aa1|-|n|ah0,0,1,0,5.31372549,0,0,125,0,0,0,1,0,0,0,1170,1,m8r2w0n2,monoseme,0,1,0,0,1,M,0,,0,1,0,,0,0,0,0,9
0,2,0,15,4,11,0,2,0,0,pink,1,0,0,pink,1,0,1.15,10,0,,0,1.15,0,0,1,0,p|ih1|ng|k,0,1,0,28.47058824,0,0,95,1,0,3,8,0,0,0,687,1,péîk,homonymhybrid,0,2,0,0,8,H,0,|6éîk|déîk|féîk|léîk|méîk|réîk|séîk|séîk|Èéîk|wéîk,0,3,0,|6éîk|déîk|féîk|léîk|méîk|réîk|séîk|séîk|Èéîk|wéîk|p2îk,|oink|tink|rink|wink|mink|fink|dink|link|sink|punk|pick|pint|ping|pins|pine,0,0,0,4
0,0,0,0,8,1,0,1,0,0,telegraph,1,0,0,telegraph,1,0,2.9,0,0,|t8l2gr1m,0,3.15,0,0,3,1,t|eh1|-|l|ah0|-|g|r|ae2|f,0,1,0,3.274509804,0,0,123,0,0,2,4,0,0,0,1121,1,t8l2gr1f,polyseme,0,1,0,0,4,P,0,,0,1,0,|t8l2gr1m,0,1,0,0,9
0,1,0,5,4,6,0,1,0,0,perky,1,0,0,perky,1,0,1.8,2,0,|p9ks,0,1.75,0,0,2,0,p|er1|-|k|iy0,0,1,0,1.666666667,0,0,92,0,0,0,1,0,0,0,1117,1,p9kè,monoseme,0,1,0,0,1,M,0,|ê9kè|t9kè,0,0,0,|ê9kè|t9kè|pékè|p9lè|p9dè|p9ks,|jerky|pesky|perdy|perry|perks,1,0,0,5
0,1,0,0,7,0,0,1,0,0,society,1,0,0,society,1,0,2.7,0,0,,0,2.65,0,0,4,0,s|ah0|-|s|ay1|-|ah0|-|t|iy0,0,1,0,32.92156863,0,0,129,0,0,0,7,0,0,0,1864,1,s2s52tè,polyseme,0,1,0,0,7,P,0,,0,6,0,,0,0,0,0,7
0,1,0,0,6,0,0,1,0,0,fearless,1,0,0,fearless,1,0,1.95,0,0,,0,2.6,0,0,2,0,f|ih1|r|-|l|ah0|s,0,1,0,2.980392157,0,0,245,0,0,0,1,0,0,0,1856,1,férl2s,monoseme,0,1,0,0,1,M,0,,0,0,0,,0,0,0,0,8
0,0,0,3,5,4,0,1,0,0,lotion,1,0,0,lotion,1,0,1.7,3,0,,0,1.8,0,0,2,0,l|ow1|-|sh|ah0|n,0,1,0,3.254901961,0,0,192,0,0,0,2,0,0,0,1531,1,lôÉ2n,polyseme,0,1,0,0,2,P,0,|môÉ2n|nôÉ2n|pôÉ2n,0,2,0,|môÉ2n|nôÉ2n|pôÉ2n|lôg2n,|notion|potion|motion,0,0,0,6
0,0,0,0,3,0,0,1,0,0,annoy,1,0,0,annoy,1,0,1.85,0,0,,0,1.95,0,0,2,1,ah0|-|n|oy1,0,1,0,2.509803922,0,0,26,0,0,1,2,0,0,0,822,1,2nû,polyseme,0,1,0,0,2,P,0,,0,0,0,,0,0,0,0,5
0,0,0,0,4,3,0,1,0,0,stooge,1,0,0,stooge,1,0,1.9,0,0,|stÎl|stÎp,0,2,0,0,1,1,s|t|uw1|jh,0,1,0,1.098039216,0,0,152,0,0,0,3,0,0,0,1408,1,stÎê,polyseme,0,1,0,0,3,P,0,,0,2,0,|stÛê|stÎl|stÎp,0,2,0,0,6
0,0,0,7,3,17,0,1,0,0,hoop,1,0,0,hoop,1,0,1.15,6,0,|àÎ6|àÎf|àÎt|àÎm|àÎz,0,1.5,0,0,1,0,hh|uw1|p,0,1,0,2.68627451,0,0,92,0,0,2,7,0,0,0,670,1,àÎp,polyseme,0,1,0,0,7,P,0,|kÎp|lÎp|lÎp|pÎp|sÎp|wÎp,0,5,0,|kÎp|lÎp|lÎp|pÎp|sÎp|wÎp|àèp|à8p|àép|à0p|àôp|à5p|àÎ6|àÎf|àÎt|àÎm|àÎz,|poop|loop|coop|hoof|hoot|hood|hook,5,0,0,4
0,0,0,0,6,0,0,1,0,0,doorman,1,0,0,doorman,1,0,1.8,0,0,,0,2.55,0,0,2,0,d|ao1|r|-|m|ae2|n,0,1,0,3.176470588,0,0,138,0,0,0,1,0,0,0,1328,1,d3rm1n,monoseme,0,1,0,0,1,M,0,,0,1,0,,0,0,0,0,7
0,0,0,3,4,6,0,1,0,0,cookie,1,0,0,cookie,1,0,1.5,2,0,|kÊkt|kÊks,0,1.85,0,0,2,0,k|uh1|-|k|iy0,0,1,0,16.70588235,0,0,193,0,0,0,4,0,0,0,1686,1,kÊkè,polyseme,0,1,0,0,4,P,0,|bÊkè|rÊkè,0,4,0,|bÊkè|rÊkè|k0kè|kèkè|kÊkt|kÊks,|bookie|rookie|sookie,2,0,0,6
0,0,0,0,6,0,0,1,0,0,etiquette,1,0,0,etiquette,1,0,2.6,0,0,,0,4.15,0,0,3,0,eh1|-|t|ah0|-|k|ah0|t,0,1,0,1.882352941,0,0,73,0,0,0,1,0,0,0,950,1,8t2k2t,monoseme,0,1,0,0,1,M,0,,0,1,0,,0,0,0,0,9
0,6,0,0,8,0,0,1,0,0,romantic,1,0,0,romantic,1,0,2.45,0,0,,0,2.6,0,0,3,0,r|ow0|-|m|ae1|n|-|t|ih0|k,0,1,0,35.17647059,0,0,175,0,0,0,8,0,0,0,1202,1,rôm1nték,polyseme,0,1,0,0,8,P,0,,0,2,0,,0,0,0,0,8
0,1,0,0,8,0,0,1,0,0,horrendous,1,0,0,horrendous,1,0,2.95,0,0,,0,4.4,0,0,3,0,hh|ao2|-|r|eh1|n|-|d|ah0|s,0,1,0,1.019607843,0,0,131,0,0,0,1,0,0,0,945,1,à3r8nd2s,monoseme,0,1,0,0,1,M,0,,0,0,0,,0,0,0,0,10
0,8,0,1,5,1,0,1,0,0,square,1,0,0,square,1,0,1.8,0,0,,0,1.85,3,0,1,1,s|k|w|eh1|r,0,1,0,31.76470588,0,0,101,0,0,5,24,0,0,0,1426,1,skw8r,polyseme,0,1,0,0,24,P,0,,0,7,0,|skw5r,|squire,0,0,0,6
0,0,0,2,6,2,0,1,0,0,gentry,1,0,0,gentry,1,0,2.6,1,0,,0,2.25,0,0,2,0,jh|eh1|n|-|t|r|iy0,0,1,0,1.333333333,0,0,113,0,0,0,2,0,0,0,1528,1,ê8ntrè,polyseme,0,1,0,0,2,P,0,|s8ntrè,0,2,0,|s8ntrè|ê8ntlè,|sentry|gently,0,0,0,6
0,0,0,0,9,0,0,1,0,0,politician,1,0,0,politician,1,0,3.25,0,0,,0,3.35,0,0,4,0,p|aa2|-|l|ah0|-|t|ih1|-|sh|ah0|n,0,1,0,3.274509804,0,0,110,0,0,0,3,0,0,0,1185,1,p0l2téÉ2n,polyseme,0,1,0,0,3,P,0,,0,3,0,,0,0,0,0,10
0,0,0,0,8,0,0,1,0,0,vibration,1,0,0,vibration,1,0,2.95,0,0,,0,2.6,0,0,3,0,v|ay0|-|b|r|ey1|-|sh|ah0|n,0,1,0,1.568627451,0,0,338,0,0,0,4,0,0,0,1421,1,v5brÛÉ2n,polyseme,0,1,0,0,4,P,0,,0,4,0,,0,0,0,0,9
0,0,0,0,6,0,0,1,0,0,isolate,1,0,0,isolate,1,0,2.65,0,0,,0,2.55,0,0,3,0,ay1|-|s|ah0|-|l|ey2|t,0,1,0,2.882352941,0,0,89,0,0,3,3,0,0,0,1220,1,5s2lÛt,polyseme,0,1,0,0,3,P,0,,0,0,0,,0,0,0,0,7
0,3,0,0,6,0,0,1,0,0,spacious,1,0,0,spacious,1,0,2.5,0,0,,0,2.7,0,0,2,0,s|p|ey1|-|sh|ah0|s,0,1,0,1.137254902,0,0,137,0,0,0,3,0,0,0,1636,1,spÛÉ2s,polyseme,0,1,0,0,3,P,0,,0,0,0,,0,0,0,0,8
0,0,0,0,5,0,0,1,0,0,toilet,1,0,0,toilet,1,0,2.15,0,0,,0,1.9,0,0,2,0,t|oy1|-|l|ah0|t,0,1,0,28.90196078,0,0,197,0,0,0,3,0,0,0,2184,1,tûl2t,polyseme,0,1,0,0,3,P,0,,0,3,0,,0,0,0,0,6
0,2,0,0,7,0,0,1,0,0,southwest,1,0,0,southwest,1,0,4.45,0,0,,0,3.35,2,0,2,0,s|aw2|th|-|w|eh1|s|t,0,1,0,3.431372549,0,0,126,0,0,0,6,0,0,0,1084,1,s4Èw8st,polyseme,0,1,0,0,6,P,0,,0,2,0,,0,0,0,0,9
0,0,0,0,5,2,0,1,0,0,corpse,1,0,0,corpse,1,0,1.65,0,0,,0,1.9,0,0,1,0,k|ao1|r|p|s,0,1,0,10.09803922,0,0,166,0,0,0,1,0,0,0,1704,1,k3rps,monoseme,0,1,0,0,1,M,0,,0,1,0,|k3r2s|k3rts,0,0,0,0,6
0,0,0,1,7,1,0,1,0,0,publisher,1,0,0,publisher,1,0,2.85,0,0,|p2bléÉt,0,3.1,0,0,3,0,p|ah1|-|b|l|ih0|-|sh|er0,0,1,0,4.509803922,0,0,149,0,0,0,2,0,0,0,1206,1,p2bléÉ9,polyseme,0,1,0,0,2,P,0,,0,2,0,|p2bléÉt,|published,1,0,0,9
0,0,0,0,8,0,0,1,0,0,accompany,1,0,0,accompany,1,0,3.05,0,0,,0,3.7,0,0,4,0,ah0|-|k|ah1|m|-|p|ah0|-|n|iy0,0,1,0,4.745098039,0,0,86,0,0,3,3,0,0,0,1080,1,2k2mp2nè,polyseme,0,1,0,0,3,P,0,,0,0,0,,0,0,0,0,9
0,0,0,0,7,0,0,1,0,0,wildlife,1,0,0,wildlife,1,0,3.6,0,0,,0,3.45,0,0,2,0,w|ay1|l|d|-|l|ay2|f,0,1,0,1.921568627,0,0,124,0,0,0,1,0,0,0,1601,1,w5ldl5f,monoseme,0,1,0,0,1,M,0,,0,1,0,,0,0,0,0,8
0,0,0,0,7,0,0,1,0,0,detonate,1,0,0,detonate,1,0,2.35,0,0,,0,2.55,0,0,3,0,d|eh1|-|t|ah0|-|n|ey2|t,0,1,0,2.078431373,0,0,210,0,0,1,1,0,0,0,1656,1,d8t2nÛt,monoseme,0,1,0,0,1,M,0,,0,0,0,,0,0,0,0,8
0,0,0,0,4,2,0,1,0,0,speech,1,0,0,speech,1,0,1.95,0,0,|spèk|spèd,0,2.3,0,0,1,0,s|p|iy1|ch,0,1,0,38.03921569,0,0,134,0,0,0,7,0,0,0,1163,1,spè6,polyseme,0,1,0,0,7,P,0,,0,7,0,|spèk|spèd,0,2,0,0,6
0,0,0,6,3,14,0,1,0,0,louse,1,0,0,louse,1,0,1.2,3,0,|l4d,0,1.5,0,0,1,0,l|aw1|s,0,1,0,1.68627451,0,0,143,0,0,1,3,0,0,0,1175,1,l4s,polyseme,0,1,0,0,3,P,0,|à4s|m4s|y4s,0,2,0,|à4s|m4s|y4s|lÛs|l0s|l1s|lès|l8s|l8s|l5s|lÎs|l3s|lÎs|l4d,|youse|mouse|house|loose|louie|lousy,1,0,0,5
0,2,0,0,7,0,0,1,0,0,household,1,0,0,household,1,0,3.3,0,0,,0,3.15,0,0,2,0,hh|aw1|s|-|hh|ow2|l|d,0,1,0,6.941176471,0,0,95,0,0,0,4,0,0,0,1242,1,à4sàôld,polyseme,0,1,0,0,4,P,0,,0,2,0,,0,0,0,0,9
0,0,0,1,4,0,0,1,0,0,audit,1,0,0,audit,1,0,1.85,0,0,,0,1.95,0,0,2,1,ao1|-|d|ih0|t,0,1,0,1.117647059,0,0,35,0,0,2,4,0,0,0,717,1,3dét,polyseme,0,1,0,0,4,P,0,,0,1,0,,|audio,0,0,0,5
0,0,0,9,4,12,0,1,0,0,lend,1,0,0,lend,1,0,1.05,4,0,|l8nz|l8nt,0,1.2,0,0,1,1,l|eh1|n|d,0,1,0,11.66666667,0,0,64,0,0,3,4,0,0,0,671,1,l8nd,polyseme,0,1,0,0,4,P,0,|b8nd|m8nd|s8nd|t8nd,0,0,0,|b8nd|m8nd|s8nd|t8nd|l1nd|lènd|l9nd|l5nd|lônd|l8rd|l8nz|l8nt,|mend|tend|bend|send|land|lewd|lead|lent|lens,2,0,0,4
0,0,0,1,6,3,0,1,0,0,despise,1,0,0,despise,1,0,1.85,0,0,|désp5t,0,2.25,0,0,2,0,d|ih0|-|s|p|ay1|z,0,1,0,4.509803922,0,0,207,0,0,1,1,0,0,0,2069,1,désp5z,monoseme,0,1,0,0,1,M,0,,0,0,0,|désg5z|déspôz|désp5t,|despite,1,0,0,7
0,0,0,0,6,0,0,1,0,0,plasma,1,0,0,plasma,1,0,2.8,0,0,,0,2.65,0,0,2,0,p|l|ae1|z|-|m|ah0,0,1,0,4.980392157,0,0,87,0,0,0,4,0,0,0,889,1,pl1zm2,polyseme,0,1,0,0,4,P,0,,0,4,0,,0,0,0,0,6
0,0,0,1,4,2,0,1,0,0,attack,1,0,0,attack,1,0,1.75,1,0,|2t16,0,2.3,0,0,2,1,ah0|-|t|ae1|k,0,1,0,75.54901961,0,0,51,0,0,3,8,0,0,0,779,1,2t1k,polyseme,0,1,0,0,8,P,0,|st1k,0,4,0,|st1k|2t16,|attach,1,0,0,6
0,0,0,18,3,34,0,1,0,0,cone,1,0,0,cone,1,0,1,12,0,|kô6|kôl|kôt|kôd|kôk|kôl|kôm|kôp|kôv,0,1,0,0,1,0,k|ow1|n,0,1,0,2.921568627,0,0,107,0,0,1,5,0,0,0,962,1,kôn,polyseme,0,1,0,0,5,P,0,|bôn|êôn|nôn|lôn|lôn|môn|môn|fôn|sôn|Éôn|tôn|zôn,0,4,0,|bôn|êôn|nôn|lôn|lôn|môn|môn|fôn|sôn|Éôn|tôn|zôn|kÛn|k1n|kÛn|kûn|k0n|k0n|kÎn|kÛn|kèn|k8n|k9n|k0n|kén|kô6|kôl|kôt|kôd|kôk|kôl|kôm|kôp|kôv,|lone|tone|zone|bone|none|gone|done|cane|cope|cove|core|coke|cole|code|come|cong|cons|conn,9,0,0,4
0,0,0,0,8,0,0,1,0,0,prototype,1,0,0,prototype,1,0,4.05,0,0,,0,3.95,0,0,3,0,p|r|ow1|-|t|ah0|-|t|ay2|p,0,1,0,3.31372549,0,0,150,0,0,0,3,0,0,0,1220,1,prôt2t5p,polyseme,0,1,0,0,3,P,0,,0,3,0,,0,0,0,0,9
0,0,0,13,3,26,0,1,0,0,rope,1,0,0,rope,1,0,1,6,0,|rô6|rôd|rôm|rôb|rôd|rôg|rôl|rôl|rôm|rôz|rôv|rôz|rôt,0,1,0,0,1,1,r|ow1|p,0,1,0,22.70588235,0,0,49,0,0,4,8,0,0,0,763,1,rôp,polyseme,0,1,0,0,8,P,0,|kôp|dôp|àôp|nôp|pôp|sôp,0,3,0,|kôp|dôp|àôp|nôp|pôp|sôp|r1p|rÛp|rèp|r8p|rép|r5p|r1p|rô6|rôd|rôm|rôb|rôd|rôg|rôl|rôl|rôm|rôz|rôv|rôz|rôt,|cope|pope|dope|nope|hope|ripe|rape|rove|robe|rode|role|rome|rose,13,0,0,4
0,0,0,0,8,0,0,1,0,0,agreement,1,0,0,agreement,1,0,2.9,0,0,,0,3.4,0,0,3,0,ah0|-|g|r|iy1|-|m|ah0|n|t,0,1,0,17.49019608,0,0,177,0,0,0,5,0,0,0,1516,1,2grèm2nt,polyseme,0,1,0,0,5,P,0,,0,5,0,,0,0,0,0,9
0,1,0,1,6,1,0,1,0,0,unable,1,0,0,unable,1,0,1.95,1,0,,0,1.9,0,0,3,0,ah0|n|-|ey1|-|b|ah0|l,0,1,0,10.25490196,0,0,178,0,0,0,1,0,0,0,1217,1,2nÛb2l,monoseme,0,1,0,0,1,M,0,|8nÛb2l,0,0,0,|8nÛb2l,|enable,0,0,0,6
0,1,0,1,4,6,0,1,0,0,rainy,1,0,0,rainy,1,0,1.3,0,0,|rÛnd|rÛnz|rÛnz|rÛnê|rÛnz,0,1.85,0,0,2,0,r|ey1|-|n|iy0,0,1,0,3.803921569,0,0,153,0,0,0,1,0,0,0,1345,1,rÛnè,monoseme,0,1,0,0,1,M,0,,0,0,0,|r2nè|rÛnd|rÛnz|rÛnz|rÛnê|rÛnz,|rains,5,0,0,5
0,4,0,0,6,0,0,1,0,0,gracious,1,0,0,gracious,1,0,1.95,0,0,,0,2.6,0,0,2,0,g|r|ey1|-|sh|ah0|s,0,1,0,7.156862745,0,0,171,0,0,0,5,0,0,1,1582,1,grÛÉ2s,polyseme,0,1,0,0,5,P,0,,0,0,0,,0,0,0,0,8
