;base_text;output
17;remaining: ['death', 'tag', 'cast', 'match', 'code', 'fighter', 'scientist', 'soul', 'agent', 'poison', 'field', 'mine', 'luck', 'well', 'roulette', 'row', 'opera', 'disease', 'cover', 'day'], hint: hospital;cast
18;remaining: ['match', 'code', 'soul', 'poison', 'luck', 'well', 'roulette', 'opera', 'disease', 'death', 'fighter', 'scientist', 'agent', 'field', 'mine', 'row', 'day', 'cover', 'tag'], hint: crops;row
19;remaining: ['luck', 'well', 'death', 'roulette', 'tag', 'opera', 'match', 'disease', 'code', 'agent', 'fighter', 'scientist', 'field', 'cover', 'soul', 'poison', 'day', 'mine'], hint: pain;poison, fighter
20;remaining: ['luck', 'well', 'death', 'roulette', 'tag', 'opera', 'match', 'disease', 'code', 'agent', 'scientist', 'field', 'cover', 'soul', 'day', 'mine'], hint: grass;cover
21;remaining: ['luck', 'well', 'death', 'roulette', 'tag', 'opera', 'match', 'disease', 'code', 'agent', 'scientist', 'field', 'soul', 'day', 'mine'], hint: corn;field
22;remaining: ['death', 'tag', 'cast', 'match', 'code', 'fighter', 'king', 'scientist', 'soul', 'agent', 'poison', 'field', 'unicorn', 'mine', 'luck', 'well', 'stock', 'pitch', 'roulette', 'row', 'opera', 'lap', 'disease', 'cover', 'day'], hint: sickness;disease
23;remaining: ['death', 'tag', 'cast', 'match', 'code', 'fighter', 'king', 'scientist', 'soul', 'agent', 'poison', 'field', 'unicorn', 'mine', 'luck', 'well', 'stock', 'pitch', 'roulette', 'row', 'opera', 'lap', 'cover', 'day'], hint: digits;roulette
24;remaining: ['death', 'tag', 'cast', 'match', 'code', 'fighter', 'king', 'scientist', 'soul', 'agent', 'poison', 'field', 'unicorn', 'mine', 'luck', 'well', 'stock', 'pitch', 'row', 'opera', 'lap', 'cover', 'day'], hint: password;code
25;remaining: ['death', 'tag', 'cast', 'match', 'fighter', 'king', 'scientist', 'soul', 'agent', 'poison', 'field', 'unicorn', 'mine', 'luck', 'well', 'stock', 'pitch', 'row', 'opera', 'lap', 'cover', 'day'], hint: sunny;day
26;remaining: ['death', 'tag', 'cast', 'match', 'fighter', 'king', 'scientist', 'soul', 'agent', 'poison', 'field', 'unicorn', 'mine', 'luck', 'well', 'stock', 'pitch', 'row', 'opera', 'lap', 'cover'], hint: winning;luck
27;remaining: ['death', 'tag', 'cast', 'match', 'fighter', 'king', 'scientist', 'soul', 'agent', 'poison', 'field', 'unicorn', 'mine', 'well', 'stock', 'pitch', 'row', 'opera', 'lap', 'cover'], hint: spirit;soul
28;remaining: ['match', 'king', 'poison', 'well', 'opera', 'lap', 'death', 'cast', 'fighter', 'scientist', 'field', 'agent', 'unicorn', 'mine', 'stock', 'pitch', 'row', 'cover', 'tag'], hint: copper;mine
29;remaining: ['well', 'death', 'stock', 'pitch', 'row', 'opera', 'match', 'lap', 'cast', 'tag', 'field', 'fighter', 'king', 'scientist', 'cover', 'agent', 'poison', 'unicorn'], hint: shading;cover
30;remaining: ['trip', 'war', 'vacuum', 'green', 'boom', 'press', 'spell', 'mine', 'time', 'date', 'well', 'club', 'degree', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'capital', 'round', 'ray', 'point'], hint: color;green
31;remaining: ['trip', 'war', 'vacuum', 'boom', 'press', 'spell', 'mine', 'time', 'date', 'well', 'club', 'degree', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'capital', 'round', 'ray', 'point'], hint: spot;point
32;remaining: ['trip', 'war', 'vacuum', 'boom', 'press', 'spell', 'mine', 'time', 'date', 'well', 'club', 'degree', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'capital', 'round', 'ray'], hint: bachelor's;degree
33;remaining: ['trip', 'war', 'vacuum', 'boom', 'press', 'spell', 'mine', 'time', 'date', 'well', 'club', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'capital', 'round', 'ray'], hint: explosion;boom
34;remaining: ['trip', 'war', 'vacuum', 'press', 'spell', 'mine', 'time', 'date', 'well', 'club', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'capital', 'round', 'ray'], hint: water;well
35;remaining: ['trip', 'war', 'vacuum', 'press', 'spell', 'mine', 'time', 'date', 'club', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'capital', 'round', 'ray'], hint: stumble;trip
36;remaining: ['war', 'time', 'strike', 'club', 'centaur', 'vacuum', 'press', 'date', 'spell', 'mine', 'row', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'capital', 'round', 'ray'], hint: state;capital
37;remaining: ['strike', 'club', 'war', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'date', 'round', 'ray', 'vacuum', 'press', 'spell', 'mine', 'time'], hint: squeeze;press
38;remaining: ['trip', 'war', 'vacuum', 'green', 'boom', 'press', 'spell', 'mine', 'time', 'date', 'well', 'club', 'degree', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'capital', 'round', 'ray', 'point'], hint: yours;mine
39;remaining: ['trip', 'war', 'vacuum', 'green', 'boom', 'press', 'spell', 'time', 'date', 'well', 'club', 'degree', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'pass', 'capital', 'round', 'ray', 'point'], hint: ticket;pass
40;remaining: ['trip', 'war', 'vacuum', 'green', 'boom', 'press', 'spell', 'time', 'date', 'well', 'club', 'degree', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'leprechaun', 'capital', 'round', 'ray', 'point'], hint: rainbow;leprechaun
41;remaining: ['trip', 'war', 'vacuum', 'green', 'boom', 'press', 'spell', 'time', 'date', 'well', 'club', 'degree', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'capital', 'round', 'ray', 'point'], hint: sun;ray
42;remaining: ['trip', 'war', 'vacuum', 'green', 'boom', 'press', 'spell', 'time', 'date', 'well', 'club', 'degree', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'capital', 'round', 'point'], hint: empty;vacuum
43;remaining: ['trip', 'war', 'green', 'boom', 'press', 'spell', 'time', 'date', 'well', 'club', 'degree', 'strike', 'row', 'centaur', 'spy', 'undertaker', 'play', 'capital', 'round', 'point'], hint: word;spell
44;remaining: ['trip', 'war', 'green', 'time', 'well', 'club', 'degree', 'strike', 'centaur', 'point', 'press', 'boom', 'date', 'row', 'spy', 'undertaker', 'play', 'round', 'capital'], hint: circle;round
45;remaining: ['slip', 'match', 'comic', 'conductor', 'scientist', 'drop', 'air', 'march', 'soul', 'light', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'cold', 'round', 'spy', 'mass', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: circle;round
46;remaining: ['slip', 'match', 'comic', 'conductor', 'scientist', 'drop', 'air', 'march', 'soul', 'light', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'cold', 'spy', 'mass', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: doctor;scientist
47;remaining: ['slip', 'match', 'comic', 'conductor', 'drop', 'air', 'march', 'soul', 'light', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'cold', 'spy', 'mass', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: fever;cold
48;remaining: ['slip', 'match', 'comic', 'conductor', 'drop', 'air', 'march', 'soul', 'light', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'spy', 'mass', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: cricket;match
49;remaining: ['slip', 'comic', 'conductor', 'drop', 'air', 'march', 'soul', 'light', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'spy', 'mass', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: grass;field
50;remaining: ['slip', 'comic', 'conductor', 'drop', 'air', 'march', 'soul', 'light', 'agent', 'plot', 'luck', 'club', 'life', 'spy', 'mass', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: party;club
51;remaining: ['conductor', 'air', 'soul', 'plot', 'luck', 'revolution', 'compound', 'slip', 'comic', 'march', 'drop', 'light', 'agent', 'life', 'spy', 'mass', 'leprechaun', 'change', 'day'], hint: secret;agent
52;remaining: ['plot', 'luck', 'slip', 'life', 'spy', 'mass', 'leprechaun', 'revolution', 'comic', 'conductor', 'march', 'drop', 'air', 'light', 'soul', 'change', 'day', 'compound'], hint: disease;leprechaun
53;remaining: ['slip', 'match', 'comic', 'conductor', 'scientist', 'drop', 'air', 'march', 'soul', 'light', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'cold', 'round', 'spy', 'mass', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: super;mass
54;remaining: ['slip', 'match', 'comic', 'conductor', 'scientist', 'drop', 'air', 'march', 'soul', 'light', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'cold', 'round', 'spy', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: relationship;soul
55;remaining: ['slip', 'match', 'comic', 'conductor', 'scientist', 'drop', 'air', 'march', 'light', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'cold', 'round', 'spy', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: pickup;drop
56;remaining: ['slip', 'match', 'comic', 'conductor', 'scientist', 'air', 'march', 'light', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'cold', 'round', 'spy', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: bright;light
57;remaining: ['slip', 'match', 'comic', 'conductor', 'scientist', 'air', 'march', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'cold', 'round', 'spy', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: cooler;air
58;remaining: ['slip', 'match', 'comic', 'conductor', 'scientist', 'march', 'agent', 'field', 'plot', 'luck', 'club', 'life', 'cold', 'round', 'spy', 'leprechaun', 'revolution', 'change', 'day', 'compound'], hint: month;march
59;remaining: ['match', 'conductor', 'plot', 'luck', 'club', 'revolution', 'compound', 'slip', 'comic', 'scientist', 'field', 'agent', 'life', 'cold', 'round', 'spy', 'leprechaun', 'change', 'day'], hint: solution;revolution
60;remaining: ['force', 'trip', 'war', 'charge', 'novel', 'conductor', 'fighter', 'poison', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'space', 'witch', 'centaur', 'sub', 'pass', 'cover', 'ray', 'cycle', 'tag', 'superhero'], hint: railway;sub
61;remaining: ['force', 'trip', 'war', 'charge', 'novel', 'conductor', 'fighter', 'poison', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'space', 'witch', 'centaur', 'pass', 'cover', 'ray', 'cycle', 'tag', 'superhero'], hint: universe;space
62;remaining: ['force', 'trip', 'war', 'charge', 'novel', 'conductor', 'fighter', 'poison', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'witch', 'centaur', 'pass', 'cover', 'ray', 'cycle', 'tag', 'superhero'], hint: danger;poison
63;remaining: ['force', 'trip', 'war', 'charge', 'novel', 'conductor', 'fighter', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'witch', 'centaur', 'pass', 'cover', 'ray', 'cycle', 'tag', 'superhero'], hint: movies;superhero
64;remaining: ['force', 'trip', 'war', 'charge', 'novel', 'conductor', 'fighter', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'witch', 'centaur', 'pass', 'cover', 'ray', 'cycle', 'tag'], hint: school;pass
65;remaining: ['force', 'trip', 'war', 'charge', 'novel', 'conductor', 'fighter', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'witch', 'centaur', 'cover', 'ray', 'cycle', 'tag'], hint: physics;force
66;remaining: ['trip', 'war', 'conductor', 'millionaire', 'luck', 'strike', 'centaur', 'cycle', 'charge', 'novel', 'fighter', 'unicorn', 'mine', 'spell', 'alien', 'witch', 'cover', 'ray', 'tag'], hint: spelling;spell
67;remaining: ['luck', 'trip', 'strike', 'war', 'witch', 'centaur', 'tag', 'charge', 'unicorn', 'novel', 'conductor', 'mine', 'fighter', 'cover', 'ray', 'cycle', 'millionaire', 'alien'], hint: drama;ray
68;remaining: ['force', 'trip', 'war', 'charge', 'novel', 'conductor', 'fighter', 'poison', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'space', 'witch', 'centaur', 'sub', 'pass', 'cover', 'ray', 'cycle', 'tag', 'superhero'], hint: mobile;charge
69;remaining: ['force', 'trip', 'war', 'novel', 'conductor', 'fighter', 'poison', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'space', 'witch', 'centaur', 'sub', 'pass', 'cover', 'ray', 'cycle', 'tag', 'superhero'], hint: movie;war
70;remaining: ['force', 'trip', 'novel', 'conductor', 'fighter', 'poison', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'space', 'witch', 'centaur', 'sub', 'pass', 'cover', 'ray', 'cycle', 'tag', 'superhero'], hint: bus;conductor
71;remaining: ['force', 'trip', 'novel', 'fighter', 'poison', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'strike', 'space', 'witch', 'centaur', 'sub', 'pass', 'cover', 'ray', 'cycle', 'tag', 'superhero'], hint: action;strike
72;remaining: ['force', 'trip', 'novel', 'fighter', 'poison', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'space', 'witch', 'centaur', 'sub', 'pass', 'cover', 'ray', 'cycle', 'tag', 'superhero'], hint: instagram;tag
73;remaining: ['force', 'trip', 'novel', 'fighter', 'poison', 'millionaire', 'spell', 'alien', 'unicorn', 'luck', 'mine', 'space', 'witch', 'centaur', 'sub', 'pass', 'cover', 'ray', 'cycle', 'superhero'], hint: wheel;cycle
74;remaining: ['trip', 'poison', 'millionaire', 'luck', 'space', 'centaur', 'sub', 'force', 'novel', 'fighter', 'unicorn', 'mine', 'spell', 'alien', 'witch', 'pass', 'cover', 'ray', 'superhero'], hint: panic;witch
75;remaining: ['fair', 'crash', 'slip', 'match', 'beat', 'king', 'bond', 'vacuum', 'green', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'lap', 'sub', 'play', 'revolution', 'switch', 'embassy', 'superhero', 'point', 'compound'], hint: james;bond
76;remaining: ['fair', 'crash', 'slip', 'match', 'beat', 'king', 'vacuum', 'green', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'lap', 'sub', 'play', 'revolution', 'switch', 'embassy', 'superhero', 'point', 'compound'], hint: book;sub
77;remaining: ['fair', 'crash', 'slip', 'match', 'beat', 'king', 'vacuum', 'green', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'lap', 'play', 'revolution', 'switch', 'embassy', 'superhero', 'point', 'compound'], hint: marvel;superhero
78;remaining: ['fair', 'crash', 'slip', 'match', 'beat', 'king', 'vacuum', 'green', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'lap', 'play', 'revolution', 'switch', 'embassy', 'point', 'compound'], hint: mixer;crash
79;remaining: ['fair', 'slip', 'match', 'beat', 'king', 'vacuum', 'green', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'lap', 'play', 'revolution', 'switch', 'embassy', 'point', 'compound'], hint: song;play
80;remaining: ['fair', 'slip', 'match', 'beat', 'king', 'vacuum', 'green', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'lap', 'revolution', 'switch', 'embassy', 'point', 'compound'], hint: change;revolution
81;remaining: ['match', 'king', 'green', 'state', 'poison', 'link', 'space', 'lap', 'point', 'compound', 'fair', 'slip', 'beat', 'vacuum', 'life', 'cold', 'contract', 'switch', 'embassy'], hint: valuable;point
82;remaining: ['fair', 'crash', 'slip', 'match', 'beat', 'king', 'bond', 'vacuum', 'green', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'lap', 'sub', 'play', 'revolution', 'switch', 'embassy', 'superhero', 'point', 'compound'], hint: off;switch
83;remaining: ['fair', 'crash', 'slip', 'match', 'beat', 'king', 'bond', 'vacuum', 'green', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'lap', 'sub', 'play', 'revolution', 'embassy', 'superhero', 'point', 'compound'], hint: tree;green
84;remaining: ['fair', 'crash', 'slip', 'match', 'beat', 'king', 'bond', 'vacuum', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'lap', 'sub', 'play', 'revolution', 'embassy', 'superhero', 'point', 'compound'], hint: motogp;lap
85;remaining: ['fair', 'crash', 'slip', 'match', 'beat', 'king', 'bond', 'vacuum', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'sub', 'play', 'revolution', 'embassy', 'superhero', 'point', 'compound'], hint: fight;beat
86;remaining: ['fair', 'crash', 'slip', 'match', 'king', 'bond', 'vacuum', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'sub', 'play', 'revolution', 'embassy', 'superhero', 'point', 'compound'], hint: ooty;slip
87;remaining: ['fair', 'crash', 'match', 'king', 'bond', 'vacuum', 'state', 'poison', 'link', 'space', 'life', 'cold', 'contract', 'sub', 'play', 'revolution', 'embassy', 'superhero', 'point', 'compound'], hint: building;contract
88;remaining: ['match', 'king', 'state', 'poison', 'link', 'space', 'sub', 'revolution', 'point', 'compound', 'fair', 'crash', 'bond', 'vacuum', 'life', 'cold', 'play', 'embassy', 'superhero'], hint: chemical;compound
89;remaining: ['fair', 'crash', 'link', 'space', 'life', 'cold', 'match', 'play', 'sub', 'revolution', 'embassy', 'king', 'point', 'bond', 'vacuum', 'state', 'poison', 'superhero'], hint: lovely;fair
90;remaining: ['fair', 'death', 'lead', 'center', 'charge', 'code', 'scientist', 'fighter', 'air', 'poison', 'figure', 'mammoth', 'angel', 'link', 'degree', 'stock', 'roulette', 'life', 'round', 'centaur', 'spring', 'pass', 'fall', 'embassy', 'switch'], hint: manager;lead, stock
91;remaining: ['fair', 'death', 'center', 'charge', 'code', 'scientist', 'fighter', 'air', 'poison', 'figure', 'mammoth', 'angel', 'link', 'degree', 'roulette', 'life', 'round', 'centaur', 'spring', 'pass', 'fall', 'embassy', 'switch'], hint: immortality;life, angel, degree
92;remaining: ['fair', 'death', 'center', 'charge', 'code', 'scientist', 'fighter', 'air', 'poison', 'figure', 'mammoth', 'link', 'roulette', 'round', 'centaur', 'spring', 'pass', 'fall', 'embassy', 'switch'], hint: macbook;charge, air
93;remaining: ['fair', 'link', 'death', 'roulette', 'center', 'round', 'centaur', 'code', 'spring', 'pass', 'fall', 'embassy', 'scientist', 'fighter', 'switch', 'poison', 'figure', 'mammoth'], hint: elephant;mammoth
94;remaining: ['fair', 'death', 'lead', 'center', 'charge', 'code', 'scientist', 'fighter', 'air', 'poison', 'figure', 'mammoth', 'angel', 'link', 'degree', 'stock', 'roulette', 'life', 'round', 'centaur', 'spring', 'pass', 'fall', 'embassy', 'switch'], hint: cliff;fall, death
95;remaining: ['fair', 'lead', 'center', 'charge', 'code', 'scientist', 'fighter', 'air', 'poison', 'figure', 'mammoth', 'angel', 'link', 'degree', 'stock', 'roulette', 'life', 'round', 'centaur', 'spring', 'pass', 'embassy', 'switch'], hint: building;code, embassy
96;remaining: ['fair', 'lead', 'center', 'charge', 'scientist', 'fighter', 'air', 'poison', 'figure', 'mammoth', 'angel', 'link', 'degree', 'stock', 'roulette', 'life', 'round', 'centaur', 'spring', 'pass', 'switch'], hint: connect;link
97;remaining: ['fair', 'lead', 'center', 'charge', 'scientist', 'fighter', 'air', 'poison', 'figure', 'mammoth', 'angel', 'degree', 'stock', 'roulette', 'life', 'round', 'centaur', 'spring', 'pass', 'switch'], hint: season;spring
98;remaining: ['lead', 'center', 'air', 'poison', 'angel', 'degree', 'roulette', 'centaur', 'fair', 'charge', 'scientist', 'fighter', 'figure', 'mammoth', 'stock', 'life', 'round', 'pass', 'switch'], hint: middle;center
99;remaining: ['fair', 'angel', 'degree', 'stock', 'lead', 'roulette', 'life', 'round', 'centaur', 'charge', 'pass', 'switch', 'scientist', 'fighter', 'air', 'poison', 'figure', 'mammoth'], hint: exchange;switch
100;remaining: ['fair', 'angel', 'degree', 'stock', 'lead', 'roulette', 'life', 'round', 'centaur', 'charge', 'pass', 'scientist', 'fighter', 'air', 'poison', 'figure', 'mammoth'], hint: bonds;stock
101;remaining: ['spot', 'center', 'wind', 'charge', 'novel', 'comic', 'sound', 'march', 'king', 'beat', 'field', 'press', 'boom', 'figure', 'check', 'mine', 'plot', 'alien', 'pitch', 'roulette', 'space', 'life', 'row', 'revolution', 'grace'], hint: russian;roulette
102;remaining: ['spot', 'center', 'wind', 'charge', 'novel', 'comic', 'sound', 'march', 'king', 'beat', 'field', 'press', 'boom', 'figure', 'check', 'mine', 'plot', 'alien', 'pitch', 'space', 'life', 'row', 'revolution', 'grace'], hint: boat;row, wind
103;remaining: ['spot', 'center', 'wind', 'charge', 'novel', 'comic', 'sound', 'march', 'king', 'beat', 'field', 'press', 'boom', 'figure', 'check', 'mine', 'plot', 'alien', 'pitch', 'roulette', 'space', 'life', 'row', 'revolution', 'grace'], hint: explosive;charge
104;remaining: ['spot', 'center', 'wind', 'novel', 'comic', 'sound', 'march', 'king', 'beat', 'field', 'press', 'boom', 'figure', 'check', 'mine', 'plot', 'alien', 'pitch', 'roulette', 'space', 'life', 'row', 'revolution', 'grace'], hint: quantity;boom
105;remaining: ['fair', 'crash', 'war', 'slip', 'cast', 'code', 'sound', 'march', 'beat', 'air', 'bond', 'millionaire', 'unicorn', 'spell', 'mammoth', 'luck', 'strike', 'pitch', 'life', 'spy', 'pass', 'revolution', 'capital', 'ray', 'cycle'], hint: james;bond, spy
106;remaining: ['fair', 'crash', 'war', 'slip', 'cast', 'code', 'sound', 'march', 'beat', 'air', 'millionaire', 'unicorn', 'spell', 'mammoth', 'luck', 'strike', 'pitch', 'life', 'pass', 'revolution', 'capital', 'ray', 'cycle'], hint: lap;pass
107;remaining: ['fair', 'crash', 'war', 'slip', 'cast', 'code', 'sound', 'march', 'beat', 'air', 'millionaire', 'unicorn', 'spell', 'mammoth', 'luck', 'strike', 'pitch', 'life', 'revolution', 'capital', 'ray', 'cycle'], hint: broken;crash
108;remaining: ['fair', 'crash', 'war', 'slip', 'cast', 'code', 'sound', 'march', 'beat', 'air', 'bond', 'millionaire', 'unicorn', 'spell', 'mammoth', 'luck', 'strike', 'pitch', 'life', 'spy', 'pass', 'revolution', 'capital', 'ray', 'cycle'], hint: animal;mammoth, unicorn
109;remaining: ['fair', 'crash', 'war', 'slip', 'cast', 'code', 'sound', 'march', 'beat', 'air', 'bond', 'millionaire', 'spell', 'luck', 'strike', 'pitch', 'life', 'spy', 'pass', 'revolution', 'capital', 'ray', 'cycle'], hint: stpatrick;luck, march
110;remaining: ['fair', 'crash', 'war', 'slip', 'cast', 'code', 'sound', 'beat', 'air', 'bond', 'millionaire', 'spell', 'strike', 'pitch', 'life', 'spy', 'pass', 'revolution', 'capital', 'ray', 'cycle'], hint: gun;beat
111;remaining: ['fair', 'trip', 'center', 'cast', 'match', 'charge', 'conductor', 'soul', 'vacuum', 'agent', 'field', 'figure', 'press', 'racket', 'date', 'angel', 'space', 'ghost', 'opera', 'round', 'disease', 'leprechaun', 'embassy', 'ray', 'tag'], hint: secret;agent
