,,All data,All data,All data,Young adults,Young adults,Young adults,Middle adults,Middle adults,Middle adults,Older adults,Older adults,Older adults
,,Total,First,Rank (SD),Total,First,Rank (SD),Total,First,Rank (SD),Total,First,Rank (SD)
A part of the human body,Teeth,0.07,,9.56 (3.71),0.12,,7.80 (3.55),0.08,,12.00 (3.10),0.02,,11.00 (1.41)
A part of the human body,Face,0.06,,7.44 (4.55),0.04,,8.33 (7.50),0.10,,8.12 (3.40),0.06,,5.80 (4.92)
A part of the human body,Skin,0.06,0.02,8.07 (6.58),0.06,0.01,7.60 (6.31),0.05,,11.50 (6.45),0.06,0.04,5.80 (7.16)
A precious stone,Diamond,0.92,0.59,1.63 (1.05),0.88,0.54,1.69 (1.17),0.95,0.62,1.62 (1.06),0.95,0.62,1.57 (0.91)
A precious stone,Ruby,0.85,0.18,2.24 (1.05),0.83,0.13,2.44 (1.21),0.85,0.20,2.22 (1.04),0.89,0.21,2.06 (0.88)
A precious stone,Emerald,0.60,0.04,3.01 (1.13),0.54,0.05,2.97 (1.22),0.62,0.05,3.02 (1.15),0.64,0.04,3.01 (1.07)
A precious stone,Sapphire,0.52,0.01,3.71 (1.24),0.49,0.02,3.56 (1.27),0.56,,3.68 (1.18),0.54,0.01,3.86 (1.29)
A precious stone,Opal,0.29,0.05,3.76 (1.78),0.28,0.05,3.91 (1.98),0.29,0.03,4.00 (1.45),0.30,0.08,3.40 (1.89)
A precious stone,Amethyst,0.21,0.01,4.15 (1.90),0.27,0.01,4.13 (1.96),0.19,0.01,3.53 (2.17),0.19,,4.75 (1.39)
A precious stone,Pearl,0.18,,4.11 (1.75),0.19,0.01,3.87 (2.19),0.22,,4.58 (1.46),0.13,,3.72 (1.42)
A precious stone,Topaz,0.17,,4.40 (1.64),0.18,,4.13 (1.13),0.13,0.01,4.90 (2.33),0.20,,4.35 (1.58)
A precious stone,Garnet,0.13,,4.61 (1.84),0.12,0.01,4.80 (2.39),0.10,,4.37 (1.92),0.15,,4.61 (1.39)
A precious stone,Jade,0.12,0.01,4.27 (1.76),0.07,,4.50 (0.84),0.18,0.01,3.57 (1.60),0.12,0.01,5.10 (2.08)
A precious stone,Onyx,0.08,,5.00 (2.00),0.07,,5.16 (1.33),0.10,,5.37 (2.83),0.06,,4.20 (0.84)
A precious stone,Gem,0.06,0.04,1.80 (1.26),0.13,0.08,1.81 (1.40),,,,0.04,0.01,2.00 (1.00)
A precious stone,Turquoise,0.06,,5.07 (1.54),0.02,,3.00 (1.41),0.04,,5.66 (1.15),0.11,,5.33 (1.41)
A precious stone,Quartz,0.06,0.01,3.43 (1.79),0.07,0.01,4.33 (1.97),0.06,0.01,2.40 (0.89),0.04,0.01,3.33 (2.08)
A relative,Aunt,0.89,0.20,4.45 (2.58),0.87,0.16,4.63 (2.76),0.95,0.25,4.21 (2.47),0.87,0.20,4.49 (2.50)
A relative,Uncle,0.88,0.02,4.91 (2.39),0.86,0.04,5.01 (2.60),0.94,0.03,4.70 (2.19),0.87,0.01,5.02 (2.38)
A relative,Mother,0.88,0.40,2.77 (2.22),0.84,0.42,2.61 (2.16),0.91,0.46,2.72 (2.30),0.89,0.35,2.96 (2.21)
A relative,Father,0.87,0.07,3.48 (2.17),0.84,0.05,3.48 (2.15),0.91,0.05,3.50 (2.21),0.88,0.12,3.44 (2.18)
A relative,Brother,0.80,0.10,4.25 (2.13),0.83,0.10,4.52 (2.32),0.85,0.10,4.23 (2.08),0.75,0.10,3.95 (1.94)
A relative,Sister,0.79,0.05,4.05 (2.05),0.82,0.07,4.13 (2.16),0.85,,4.32 (2.00),0.74,0.08,3.64 (1.93)
A relative,Cousin,0.77,0.05,5.97 (2.87),0.90,0.11,5.84 (3.21),0.68,0.03,6.59 (2.70),0.75,0.02,5.60 (2.51)
A relative,Grandmother,0.59,0.01,7.33 (2.25),0.64,0.02,6.47 (2.41),0.66,,7.80 (1.90),0.49,,7.82 (2.17)
A relative,Grandfather,0.58,,7.85 (2.34),0.64,,7.11 (2.47),0.68,,8.51 (2.08),0.44,0.01,7.94 (2.27)
A relative,Nephew,0.33,,7.80 (2.70),0.39,,7.93 (2.95),0.30,,7.66 (2.60),0.31,,7.76 (2.57)
A relative,Niece,0.31,0.01,7.47 (2.62),0.34,,7.92 (2.79),0.32,,7.56 (2.57),0.30,0.02,6.88 (2.47)
A relative,Son,0.29,0.02,6.22 (3.32),0.24,,8.00 (2.75),0.29,0.03,6.69 (3.69),0.35,0.05,4.62 (2.66)
A relative,Daughter,0.28,,6.55 (3.39),0.23,,8.15 (3.39),0.28,,6.95 (3.70),0.33,,5.14 (2.58)
A relative,Husband,0.08,0.02,6.75 (4.28),0.08,0.01,7.28 (3.90),0.11,0.04,6.77 (4.84),0.05,0.01,5.75 (4.57)
A relative,Grandparent,0.06,,6.53 (2.44),0.05,,4.75 (2.75),0.08,,6.66 (2.66),0.06,,7.80 (1.10)
A science,Biology,0.70,0.33,1.85 (0.99),0.72,0.34,1.86 (1.02),0.76,0.37,1.75 (0.86),0.63,0.29,1.94 (1.12)
A science,Chemistry,0.57,0.14,2.36 (1.17),0.70,0.18,2.27 (1.09),0.56,0.15,2.36 (1.30),0.46,0.10,2.48 (1.14)
A science,Physics,0.41,0.06,3.21 (1.42),0.40,0.07,3.24 (1.58),0.38,0.04,3.43 (1.30),0.45,0.06,3.00 (1.36)
A science,Astronomy,0.31,0.06,3.38 (1.77),0.23,0.02,4.05 (2.12),0.30,0.05,3.08 (1.47),0.42,0.10,3.22 (1.70)
A science,Geology,0.21,0.04,2.88 (1.48),0.18,0.02,3.40 (1.64),0.22,0.04,2.88 (1.41),0.23,0.07,2.47 (1.35)
A science,Psychology,0.14,0.03,3.24 (1.94),0.19,0.04,3.56 (2.16),0.10,0.03,2.25 (1.28),0.12,0.02,3.50 (1.90)
A science,Medicine,0.13,0.04,3.32 (2.20),0.16,0.05,3.61 (2.36),0.09,0.01,3.57 (1.51),0.13,0.06,2.81 (2.44)
A science,Botany,0.07,0.02,3.17 (1.58),0.05,,3.75 (1.26),0.09,0.01,3.42 (1.51),0.08,0.04,2.57 (1.81)
A science,Anatomy,0.06,,3.67 (1.11),0.07,,3.83 (0.98),0.08,,3.66 (1.37),0.04,,3.33 (1.15)
A science,Mathematics,0.06,0.02,2.43 (1.16),,,,0.08,0.03,2.66 (1.37),0.08,0.02,2.28 (1.11)
A science,Meteorology,0.06,0.02,3.29 (2.02),0.07,0.01,4.16 (2.14),0.03,0.01,1.50 (0.71),0.07,0.02,3.00 (1.90)
A science,Zoology,0.05,0.01,3.62 (1.66),0.04,,3.66 (1.15),0.04,,4.66 (1.15),0.08,0.02,3.14 (1.95)
A snake,Rattlesnake,0.82,0.35,2.09 (1.31),0.80,0.31,2.07 (1.22),0.85,0.41,1.97 (1.16),0.83,0.36,2.22 (1.53)
A snake,Garden,0.60,0.10,3.25 (1.55),0.55,0.07,3.20 (1.47),0.62,0.09,3.35 (1.54),0.65,0.15,3.20 (1.66)
A snake,Cobra,0.49,0.15,2.74 (1.78),0.55,0.19,2.45 (1.41),0.52,0.15,2.65 (1.77),0.42,0.11,3.20 (2.16)
A snake,Python,0.41,0.05,3.54 (1.69),0.46,0.07,3.50 (1.96),0.34,0.05,3.59 (1.50),0.43,0.04,3.55 (1.56)
A snake,Copperhead,0.23,0.07,2.55 (1.56),0.14,,1.91 (1.24),0.32,,2.60 (1.73),0.25,,2.85 (1.46)
A snake,Black,0.18,0.01,3.68 (1.40),0.12,0.01,3.80 (1.48),0.15,0.01,3.83 (1.50),0.26,,3.54 (1.37)
A snake,Anaconda,0.13,0.01,4.00 (1.99),0.18,,3.66 (1.54),0.13,0.01,4.60 (2.22),0.10,0.01,3.87 (2.53)
A snake,Asp,0.13,0.05,3.06 (2.37),0.06,0.01,3.60 (2.97),0.13,,2.90 (2.13),0.20,0.02,3.00 (2.45)
A snake,Viper,0.13,0.02,3.65 (2.06),0.19,0.02,3.93 (1.77),0.11,0.04,3.33 (2.00),0.07,0.08,3.33 (3.01)
A snake,Cottonmouth,0.11,0.01,3.59 (1.85),0.07,0.02,3.16 (2.64),0.11,0.01,3.88 (1.56),0.14,0.04,3.58 (1.73)
A snake,Coral,0.10,0.02,3.92 (2.36),0.11,0.02,4.22 (2.77),0.09,,4.71 (1.11),0.12,,3.10 (2.49)
A snake,King,0.09,,4.68 (1.73),0.05,0.02,5.00 (3.16),0.13,,4.80 (1.48),0.10,0.04,4.37 (1.30)
A snake,Rat,0.08,,4.14 (1.77),0.06,0.01,4.60 (1.14),0.08,,3.83 (2.48),0.12,,4.10 (1.66)
A snake,Diamondback,0.08,0.02,3.20 (1.76),0.08,,4.00 (2.24),0.11,0.01,3.22 (1.27),0.05,,1.75 (0.96)
A snake,Green,0.06,,4.00 (1.61),,,,0.05,0.01,4.25 (1.71),0.13,0.02,4.00 (1.70)
A sport,Football,0.91,0.39,2.11 (1.39),0.90,0.47,2.16 (1.77),0.94,0.34,2.18 (1.26),0.90,0.36,1.98 (1.06)
A sport,Baseball,0.82,0.23,2.63 (1.62),0.76,0.14,2.85 (1.59),0.85,0.28,2.56 (1.80),0.88,0.29,2.50 (1.47)
A sport,Basketball,0.72,0.08,3.23 (1.74),0.78,0.06,3.38 (1.77),0.80,0.09,3.11 (1.50),0.60,0.10,3.18 (1.97)
A sport,Soccer,0.70,0.09,3.58 (1.90),0.72,0.10,3.40 (1.92),0.68,0.11,3.59 (1.96),0.70,0.07,3.74 (1.84)
A sport,Tennis,0.52,0.06,4.64 (2.31),0.59,0.07,4.53 (2.65),0.51,0.04,5.22 (2.31),0.48,0.07,4.20 (1.74)
A sport,Hockey,0.51,0.05,4.17 (1.79),0.47,0.06,3.89 (1.80),0.59,0.05,4.55 (1.90),0.49,0.04,4.00 (1.60)
A sport,Golf,0.29,0.02,4.90 (2.18),0.35,0.04,4.86 (2.17),0.27,0.01,5.61 (2.48),0.27,0.01,4.30 (1.77)
A sport,Swimming,0.22,,6.31 (2.23),0.20,,6.82 (2.30),0.27,,6.42 (2.40),0.19,0.01,5.62 (1.86)
A sport,Volleyball,0.17,0.01,6.00 (2.42),0.16,0.01,6.30 (3.20),0.22,,6.35 (2.09),0.14,0.01,5.16 (1.80)
A sport,Skiing,0.16,,6.50 (2.18),0.14,,6.66 (2.42),0.15,,6.33 (2.19),0.19,,6.50 (2.13)
A sport,Running,0.15,,6.73 (2.13),0.16,,7.15 (1.57),0.16,0.01,7.00 (2.68),0.13,,5.90 (1.92)
A sport,Rugby,0.15,0.01,5.47 (2.22),0.16,0.01,6.38 (2.53),0.14,0.01,5.09 (2.02),0.14,0.01,4.83 (1.85)
A sport,Lacrosse,0.14,,6.29 (2.20),0.14,,5.83 (2.41),0.15,,6.41 (2.57),0.13,,6.63 (2.41)
A sport,Track,0.11,,6.21 (2.78),0.11,,6.88 (3.26),0.13,,7.30 (2.06),0.11,,4.33 (2.18)
A sport,Softball,0.11,,5.46 (2.44),0.12,,5.50 (2.95),0.15,,5.33 (2.19),0.07,,5.66 (2.42)
A sport,Curling,0.10,,6.54 (2.53),0.14,,6.58 (3.34),0.08,,6.33 (2.07),0.10,,6.62 (1.51)
A sport,Cricket,0.10,,6.19 (1.81),0.16,,6.30 (1.97),0.09,,5.85 (1.57),0.07,,6.33 (1.97)
A sport,Gymnastics,0.08,,6.79 (2.53),0.11,0.01,6.11 (2.67),0.06,,6.80 (2.59),0.06,,8.00 (2.24)
A sport,Badminton,0.07,,7.06 (2.48),0.08,,8.57 (2.23),0.05,,5.75 (2.63),0.08,,6.28 (2.14)
A sport,Bowling,0.07,,5.29 (2.02),0.05,,4.75 (1.26),0.08,,4.66 (1.63),0.08,,6.14 (2.54)
A sport,Wrestling,0.07,,6.41 (2.65),0.07,,6.66 (1.75),0.09,,6.71 (2.69),0.05,,5.50 (4.04)
A sport,Racing,0.06,,7.14 (2.88),0.06,,7.20 (3.96),0.08,,7.16 (2.71),0.04,,7.00 (2.00)
A sport,Boxing,0.06,,6.07 (2.27),0.07,,7.33 (1.86),0.06,,5.20 (2.77),0.04,,5.00 (1.00)
A sport,Bicycling,0.05,,6.77 (2.31),0.04,,7.66 (1.15),0.09,,6.71 (3.09),0.04,,6.00 (0.00)
A substance for flavoring food,Salt,0.88,0.52,1.93 (1.46),0.83,0.51,1.81 (1.31),0.92,0.49,2.16 (1.66),0.89,0.56,1.80 (1.37)
A substance for flavoring food,Pepper,0.84,0.05,2.83 (1.49),0.82,0.06,2.83 (1.31),0.86,,3.13 (1.62),0.87,0.10,2.54 (1.47)
A substance for flavoring food,Garlic,0.40,0.04,3.72 (1.62),0.42,0.05,4.00 (1.89),0.43,0.06,3.20 (1.47),0.35,0.01,4.00 (1.28)
A substance for flavoring food,Spice,0.23,0.08,3.12 (2.24),0.18,0.06,3.33 (2.41),0.29,0.09,3.47 (2.50),0.24,0.10,2.55 (1.73)
A substance for flavoring food,Sugar,0.20,0.04,3.18 (2.13),0.25,0.04,2.90 (1.81),0.22,0.06,3.52 (2.74),0.13,0.01,3.18 (1.66)
A substance for flavoring food,Oregano,0.18,0.01,4.80 (2.13),0.18,,5.33 (2.47),0.16,,5.07 (1.50),0.20,0.02,4.11 (2.15)
A substance for flavoring food,Herbs,0.15,0.04,3.29 (2.17),0.11,0.02,3.77 (2.17),0.25,0.05,3.40 (2.33),0.11,0.04,2.55 (1.81)
A substance for flavoring food,Cinnamon,0.14,0.01,4.56 (2.36),0.10,,4.37 (2.50),0.19,0.03,4.53 (2.56),0.13,0.01,4.72 (2.20)
A substance for flavoring food,Paprika,0.13,,4.52 (1.80),0.19,0.01,4.43 (2.25),0.10,,4.37 (1.60),0.11,,4.77 (1.09)
A substance for flavoring food,Basil,0.11,,4.89 (1.85),0.07,,6.33 (1.75),0.10,,5.00 (1.41),0.17,,4.21 (1.85)
A substance for flavoring food,Thyme,0.11,,5.67 (1.62),0.08,,5.00 (1.63),0.10,,5.75 (1.67),0.14,,6.00 (1.60)
A substance for flavoring food,Lemon,0.11,,4.19 (1.62),0.10,,5.12 (1.96),0.18,0.01,3.78 (1.53),0.06,,3.80 (0.45)
A substance for flavoring food,Cumin,0.10,,6.00 (2.27),0.10,,6.87 (2.48),0.14,,6.09 (2.07),0.07,,4.66 (2.07)
A substance for flavoring food,Onion,0.10,,5.46 (2.48),0.10,0.01,5.87 (3.48),0.08,,6.33 (1.97),0.12,,4.60 (1.65)
A substance for flavoring food,Vanilla,0.09,0.05,2.52 (2.11),0.08,0.02,3.57 (2.94),0.10,0.08,1.50 (0.93),0.10,0.05,2.62 (1.85)
A substance for flavoring food,Rosemary,0.08,,5.76 (2.02),0.06,,6.40 (2.88),0.06,,7.40 (1.52),0.13,,4.72 (1.10)
A substance for flavoring food,Ketchup,0.08,0.02,3.60 (1.98),0.08,0.04,2.71 (2.14),0.06,,4.60 (2.07),0.10,0.01,3.75 (1.67)
A substance for flavoring food,Butter,0.08,,5.05 (2.17),0.06,,6.20 (2.39),0.13,,5.00 (2.00),0.05,0.01,3.75 (2.06)
A substance for flavoring food,Curry,0.07,,5.18 (2.90),0.08,,4.71 (2.21),0.08,,6.33 (3.88),0.05,0.01,4.25 (2.36)
A substance for flavoring food,Sauce,0.07,0.01,3.41 (1.91),0.08,0.01,3.42 (1.99),0.08,0.01,3.83 (2.32),0.05,0.01,2.75 (1.26)
A substance for flavoring food,Parsley,0.06,,4.63 (1.89),0.07,,4.50 (1.22),0.10,0.01,5.00 (2.45),0.02,,3.50 (0.71)
A substance for flavoring food,Turmeric,0.06,,5.60 (1.40),0.05,,4.75 (1.50),0.04,,6.00 (2.00),0.10,,5.87 (1.13)
A substance for flavoring food,Mustard,0.06,,4.36 (1.55),0.06,,4.20 (1.79),0.05,,4.75 (0.96),0.06,,4.20 (1.92)
A substance for flavoring food,Seasoning,0.05,0.01,2.85 (1.52),0.05,0.04,1.25 (0.50),0.04,,4.00 (1.00),0.07,,3.33 (1.37)
A substance for flavoring food,Sage,0.05,,5.00 (2.38),0.02,,6.50 (3.54),0.08,,5.50 (2.26),0.06,,3.80 (2.05)
A toy,Doll,0.62,0.21,2.60 (1.68),0.58,0.20,2.25 (1.28),0.65,0.22,2.92 (1.94),0.64,0.23,2.61 (1.71)
A toy,Ball,0.47,0.18,3.03 (2.28),0.49,0.17,3.00 (2.25),0.44,0.14,3.65 (2.50),0.48,0.23,2.52 (2.01)
A toy,Car,0.39,0.07,3.23 (1.84),0.42,0.12,2.68 (1.71),0.41,0.06,3.46 (1.70),0.36,0.04,3.60 (2.03)
A toy,Truck,0.24,0.02,3.34 (1.75),0.19,0.02,3.18 (1.87),0.28,0.04,3.22 (1.80),0.25,0.01,3.57 (1.66)
A toy,Legos,0.23,0.04,3.32 (1.83),0.27,0.05,3.59 (1.99),0.27,0.05,2.76 (1.55),0.15,0.04,3.76 (1.88)
A toy,Blocks,0.21,0.03,3.68 (1.98),0.19,0.01,4.68 (2.27),0.25,0.04,3.45 (1.85),0.20,0.04,3.00 (1.50)
A toy,Train,0.16,0.04,3.13 (1.57),0.16,0.04,3.07 (1.55),0.10,0.04,2.87 (1.81),0.23,0.04,3.26 (1.56)
A toy,Yoyo,0.13,0.04,2.70 (1.42),0.12,0.04,2.60 (1.43),0.15,0.06,2.75 (1.82),0.13,0.01,2.72 (1.01)
A toy,Top,0.12,0.05,2.27 (1.80),0.07,0.01,3.83 (2.56),0.11,0.06,1.55 (0.73),0.18,0.08,2.06 (1.62)
A toy,Puzzle,0.11,,4.00 (1.57),0.11,,4.00 (1.94),0.13,,4.00 (1.49),0.10,,4.00 (1.41)
A toy,Barbie,0.11,0.02,3.96 (2.14),0.23,0.05,3.94 (2.37),0.06,,3.40 (1.14),0.04,,5.00 (2.00)
A toy,Game,0.10,,3.88 (1.57),0.04,,3.66 (1.15),0.11,,4.22 (1.56),0.14,0.01,3.66 (1.72)
A toy,Bicycle,0.08,0.01,4.05 (2.71),0.07,0.02,2.33 (1.51),0.11,,4.55 (2.24),0.07,0.01,5.00 (3.74)
A toy,Soldier,0.06,,3.93 (1.64),0.02,,4.00 (1.41),0.05,,4.75 (1.71),0.10,0.01,3.50 (1.69)
A toy,Gun,0.06,,4.29 (1.73),0.04,,5.00 (3.00),0.04,,4.00 (2.00),0.10,,4.12 (1.25)
A toy,Jacks,0.06,,4.71 (2.02),0.04,,7.00 (1.00),0.04,,5.00 (1.00),0.10,0.01,3.75 (1.91)
A toy,Kite,0.05,0.02,3.00 (2.55),0.02,0.01,1.50 (0.71),0.08,0.01,4.66 (3.01),0.06,0.02,1.60 (0.55)
A tree,Oak,0.73,0.29,2.33 (1.78),0.70,0.25,2.39 (1.74),0.75,0.24,2.54 (1.77),0.75,0.38,2.07 (1.82)
A tree,Pine,0.62,0.12,3.40 (1.98),0.61,0.17,3.05 (2.09),0.59,0.14,3.40 (2.14),0.65,0.05,3.70 (1.69)
A tree,Maple,0.54,0.09,3.22 (1.83),0.46,0.06,2.84 (1.33),0.58,0.09,3.54 (1.93),0.60,0.12,3.20 (2.04)
A tree,Elm,0.33,0.13,2.37 (1.81),0.20,0.07,2.58 (1.94),0.38,0.15,2.20 (1.56),0.43,0.18,2.41 (1.98)
A tree,Apple,0.33,0.02,4.70 (2.18),0.30,0.04,4.00 (2.04),0.43,0.03,4.73 (2.09),0.26,0.01,5.45 (2.30)
A tree,Birch,0.26,0.05,4.05 (2.46),0.18,0.02,3.73 (2.09),0.34,0.05,4.51 (2.62),0.26,0.08,3.68 (2.50)
A tree,Palm,0.18,0.02,4.07 (1.87),0.28,0.01,3.86 (1.39),0.11,0.03,4.77 (2.54),0.14,0.01,3.91 (2.15)
A tree,Willow,0.17,0.02,4.26 (2.05),0.18,0.04,3.86 (1.81),0.13,0.01,4.90 (2.56),0.21,0.02,4.22 (1.96)
A tree,Fir,0.17,0.01,3.88 (1.96),0.17,0.04,3.42 (2.10),0.20,,3.81 (1.91),0.13,,4.54 (1.86)
A tree,Cherry,0.17,0.01,5.07 (2.21),0.18,0.01,5.40 (2.26),0.23,0.01,4.77 (1.83),0.10,,5.12 (3.00)
A tree,Spruce,0.15,0.03,3.84 (2.05),0.14,0.02,4.16 (2.12),0.22,0.05,3.76 (2.31),0.11,0.01,3.55 (1.51)
A tree,Redwood,0.14,0.01,4.54 (2.15),0.22,0.02,5.00 (2.57),0.10,,4.00 (1.78),0.11,,4.11 (1.36)
A tree,Cedar,0.13,,4.71 (1.95),0.10,,4.25 (1.28),0.10,,5.75 (2.60),0.18,,4.40 (1.76)
A tree,Peach,0.12,,5.57 (2.53),0.05,0.01,5.75 (3.59),0.16,,5.23 (2.17),0.15,,5.84 (2.70)
A tree,Pear,0.10,,6.19 (1.50),0.07,,6.33 (1.37),0.23,,6.22 (1.63),0.02,,5.50 (0.71)
A tree,Ash,0.10,0.01,4.17 (2.28),0.10,,5.75 (2.38),0.09,,3.28 (0.76),0.11,0.02,3.44 (2.40)
A tree,Dogwood,0.09,0.01,4.43 (2.25),0.11,0.01,4.66 (2.24),0.11,0.01,4.00 (2.60),0.06,,4.80 (1.92)
A tree,Poplar,0.09,,4.64 (2.01),0.05,,5.75 (0.96),0.10,0.01,3.50 (1.51),0.12,,5.10 (2.33)
A tree,Orange,0.09,,5.50 (2.48),0.11,,4.88 (2.03),0.11,,6.00 (2.60),0.05,,5.75 (3.50)
A tree,Walnut,0.08,,5.38 (2.73),0.08,0.01,5.42 (2.99),0.06,,4.40 (2.51),0.11,,5.88 (2.80)
A tree,Evergreen,0.08,,4.84 (1.77),0.10,,4.87 (2.23),0.04,,4.00 (1.00),0.10,,5.12 (1.55)
A tree,Pecan,0.06,0.01,4.20 (2.48),0.04,,5.33 (2.89),0.09,0.03,3.57 (2.44),0.06,,4.40 (2.61)
A tree,Sycamore,0.06,0.01,4.27 (2.69),0.06,0.04,2.00 (1.41),0.09,,5.28 (2.50),0.04,,5.66 (2.89)
A tree,Christmas,0.06,,4.93 (2.16),0.07,0.01,4.50 (2.66),0.03,,5.00 (2.83),0.07,,5.33 (1.75)
A tree,Hickory,0.06,,4.71 (1.78),0.05,,5.75 (1.89),0.08,,4.66 (1.97),0.05,,3.75 (0.96)
A type of fabric,Cotton,0.93,0.50,1.76 (1.07),0.93,0.53,1.57 (0.79),0.94,0.54,1.78 (1.21),0.94,0.43,1.94 (1.15)
A type of fabric,Silk,0.67,0.17,2.67 (1.60),0.69,0.17,2.59 (1.65),0.68,0.16,2.68 (1.54),0.65,0.19,2.74 (1.64)
A type of fabric,Polyester,0.50,0.02,3.77 (1.60),0.57,0.02,3.70 (1.72),0.58,0.01,3.67 (1.45),0.38,0.02,4.00 (1.65)
A type of fabric,Wool,0.48,0.08,3.09 (1.63),0.46,0.06,3.00 (1.38),0.47,0.10,3.40 (2.01),0.52,0.10,2.90 (1.46)
A type of fabric,Linen,0.23,0.04,3.14 (1.67),0.17,0.04,2.57 (1.40),0.23,0.04,3.16 (1.98),0.31,0.04,3.42 (1.55)
A type of fabric,Rayon,0.22,,3.91 (1.61),0.16,,4.00 (1.47),0.29,,4.26 (1.81),0.21,,3.38 (1.33)
A type of fabric,Denim,0.19,0.03,4.02 (2.27),0.13,0.05,3.27 (2.10),0.25,0.01,4.35 (1.98),0.20,0.04,4.11 (2.69)
A type of fabric,Nylon,0.19,0.01,3.83 (1.64),0.10,,4.25 (0.89),0.22,,3.76 (1.64),0.25,0.02,3.71 (1.87)
A type of fabric,Satin,0.16,0.03,3.63 (2.25),0.16,0.04,3.69 (2.50),0.23,0.03,3.66 (1.75),0.11,0.02,3.44 (2.96)
A type of fabric,Leather,0.12,0.01,4.13 (1.96),0.17,,4.07 (1.44),0.09,0.01,4.42 (2.94),0.11,0.01,4.00 (2.00)
A type of fabric,Velvet,0.08,,3.95 (1.66),0.08,,3.14 (1.07),0.09,,4.85 (2.12),0.08,,3.85 (1.35)
A type of fabric,Cashmere,0.08,,4.79 (1.40),0.11,,4.33 (1.00),0.09,,5.28 (1.70),0.04,,5.00 (1.73)
A type of fabric,Corduroy,0.07,,4.78 (1.48),0.05,,5.25 (0.96),0.09,,4.71 (1.11),0.08,,4.57 (2.07)
A type of fabric,Flannel,0.06,0.01,3.44 (1.71),0.05,0.01,3.00 (1.41),0.08,,4.16 (1.94),0.07,0.02,3.00 (1.67)
A type of fabric,Suede,0.06,,4.19 (1.76),0.07,,4.66 (1.37),0.09,,4.00 (2.31),0.04,,3.66 (1.15)
A type of fabric,Fleece,0.05,,3.46 (1.39),0.07,,3.00 (1.26),0.05,,4.75 (0.96),0.04,,2.66 (1.15)
A type of fuel,Gasoline,0.92,0.69,1.36 (0.79),0.86,0.64,1.33 (0.67),0.91,0.72,1.30 (0.83),1.00,0.71,1.41 (0.84)
A type of fuel,Diesel,0.52,0.06,2.67 (1.21),0.59,0.10,2.65 (1.30),0.51,0.05,2.60 (1.08),0.48,0.02,2.75 (1.24)
A type of fuel,Oil,0.31,0.05,2.73 (1.45),0.29,0.06,2.66 (1.46),0.29,0.04,3.17 (1.72),0.36,0.06,2.43 (1.14)
A type of fuel,Coal,0.24,0.02,3.63 (1.67),0.14,0.04,2.66 (1.72),0.28,,3.95 (1.62),0.30,0.02,3.80 (1.58)
A type of fuel,Propane,0.23,,3.53 (1.27),0.17,,4.00 (1.11),0.25,,3.05 (1.10),0.27,0.01,3.65 (1.40)
A type of fuel,Kerosene,0.20,0.02,2.94 (1.25),0.13,0.01,2.63 (0.92),0.20,0.03,3.12 (1.31),0.26,0.04,2.95 (1.36)
A type of fuel,Wood,0.19,0.01,4.06 (1.52),0.08,,4.00 (1.53),0.22,0.03,3.82 (1.78),0.29,,4.25 (1.36)
A type of fuel,Ethanol,0.15,,3.44 (1.23),0.14,,3.33 (0.89),0.16,0.01,3.15 (1.46),0.13,,3.90 (1.22)
A type of fuel,Electricity,0.11,,3.43 (1.29),0.10,,3.12 (0.83),0.09,0.01,3.14 (1.21),0.15,,3.76 (1.54)
A type of fuel,Solar,0.10,,4.17 (1.55),0.10,,4.00 (1.41),0.08,,4.33 (1.51),0.12,0.01,4.20 (1.81)
A type of fuel,Petroleum,0.10,0.01,3.04 (1.33),0.12,0.02,2.80 (1.62),0.11,,3.00 (1.22),0.06,,3.60 (0.89)
A type of fuel,Alcohol,0.07,,3.61 (1.58),0.04,,3.00 (1.00),0.11,,3.22 (1.48),0.07,,4.50 (1.76)
A type of fuel,Nuclear,0.06,,4.27 (1.58),0.06,,4.00 (1.87),0.04,,5.33 (2.52),0.08,,4.00 (0.82)
A type of fuel,Wind,0.06,,4.13 (1.64),0.08,,4.42 (2.07),0.05,,4.25 (0.50),0.05,,3.50 (1.73)
A type of fuel,Unleaded,0.06,0.02,2.29 (1.33),0.11,0.04,2.22 (1.20),0.04,0.03,1.33 (0.58),0.02,,4.00 (1.41)
A type of fuel,Butane,0.05,,4.69 (1.75),0.06,0.01,3.40 (1.52),0.05,,5.00 (1.41),0.05,,6.00 (1.41)
A type of human dwelling,House,0.91,0.72,1.37 (0.87),0.86,0.73,1.18 (0.52),0.95,0.80,1.32 (0.90),0.95,0.64,1.57 (1.02)
A type of human dwelling,Apartment,0.71,0.03,3.01 (1.38),0.76,0.05,2.63 (1.11),0.71,0.01,2.96 (1.33),0.69,0.04,3.44 (1.56)
A type of human dwelling,Tent,0.46,0.03,3.86 (1.92),0.35,,4.89 (2.04),0.54,0.04,4.00 (1.84),0.49,0.06,2.97 (1.51)
A type of human dwelling,Condominium,0.45,0.01,3.72 (1.54),0.51,0.01,3.35 (1.03),0.48,,4.10 (1.90),0.37,0.01,3.74 (1.57)
A type of human dwelling,Hut,0.29,0.04,3.59 (2.03),0.27,0.02,3.45 (1.68),0.27,0.03,4.42 (2.42),0.36,0.06,3.10 (1.82)
